#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      6.92e+01    5.85e+01      1.39e+00    1.33e+00      2.19e+00    1.85e+00    1.0e-03
   1000      1.31e+01    1.15e+01      1.50e+00    1.50e+00      4.15e-01    3.63e-01    1.0e-03
   2000      1.31e+01    1.36e+01      3.83e-01    3.85e-01      4.14e-01    4.31e-01    1.0e-03
   3000      8.77e+00    1.13e+01      4.13e-02    3.49e-02      2.77e-01    3.57e-01    1.0e-03
   4000      9.49e+00    7.53e+00      2.02e-02    7.26e-03      3.00e-01    2.38e-01    1.0e-03
   5000      7.34e+00    8.90e+00      3.21e-02    2.63e-02      2.53e-01    3.07e-01    8.4e-04
   6000      7.31e+00    7.82e+00      3.78e-02    4.89e-02      2.52e-01    2.69e-01    8.4e-04
   7000      7.65e+00    6.89e+00      4.90e-03    1.02e-02      2.63e-01    2.37e-01    8.4e-04
   8000      6.48e+00    6.90e+00      8.28e-03    7.56e-03      2.23e-01    2.38e-01    8.4e-04
   9000      6.33e+00    6.36e+00      1.22e-02    1.45e-02      2.18e-01    2.19e-01    8.4e-04
  10000      5.62e+00    5.25e+00      3.12e-02    3.20e-02      2.11e-01    1.97e-01    7.1e-04
  11000      5.66e+00    6.06e+00      3.10e-02    3.47e-02      2.12e-01    2.27e-01    7.1e-04
  12000      6.49e+00    5.88e+00      1.31e-02    4.70e-03      2.43e-01    2.21e-01    7.1e-04
  13000      5.31e+00    6.37e+00      3.05e-02    2.56e-02      1.99e-01    2.39e-01    7.1e-04
  14000      4.49e+00    5.51e+00      6.61e-03    7.15e-03      1.68e-01    2.07e-01    7.1e-04
  15000      5.66e+00    5.37e+00      5.51e-02    5.59e-02      2.31e-01    2.19e-01    6.0e-04
  16000      6.28e+00    5.37e+00      2.07e-02    1.02e-02      2.56e-01    2.19e-01    6.0e-04
  17000      4.37e+00    5.15e+00      3.03e-02    2.10e-02      1.79e-01    2.10e-01    6.0e-04
  18000      4.35e+00    5.07e+00      1.34e-02    9.93e-03      1.78e-01    2.07e-01    6.0e-04
  19000      4.90e+00    7.79e+00      1.20e-02    1.13e-02      2.00e-01    3.18e-01    6.0e-04
  20000      3.97e+00    1.21e+01      3.32e-02    3.40e-02      1.77e-01    5.38e-01    5.0e-04
  21000      5.11e+00    5.49e+00      5.67e-03    8.03e-03      2.27e-01    2.44e-01    5.0e-04
  22000      5.43e+00    4.25e+00      1.80e-02    1.57e-02      2.41e-01    1.89e-01    5.0e-04
  23000      8.92e+00    4.36e+00      1.61e-02    4.64e-03      3.97e-01    1.94e-01    5.0e-04
  24000      4.83e+00    3.56e+00      3.84e-02    3.19e-02      2.15e-01    1.58e-01    5.0e-04
  25000      4.25e+00    3.56e+00      4.74e-03    6.80e-03      2.06e-01    1.73e-01    4.3e-04
  26000      3.71e+00    3.44e+00      1.45e-02    1.36e-02      1.80e-01    1.67e-01    4.3e-04
  27000      3.37e+00    3.75e+00      4.32e-03    5.04e-03      1.63e-01    1.82e-01    4.3e-04
  28000      3.60e+00    3.25e+00      2.00e-02    1.92e-02      1.75e-01    1.57e-01    4.3e-04
  29000      4.92e+00    4.05e+00      1.17e-02    1.01e-02      2.39e-01    1.96e-01    4.3e-04
  30000      4.99e+00    3.56e+00      6.33e-03    6.97e-03      2.63e-01    1.88e-01    3.6e-04
  31000      3.52e+00    2.88e+00      1.75e-02    1.47e-02      1.86e-01    1.52e-01    3.6e-04
  32000      3.10e+00    6.47e+00      7.56e-03    8.29e-04      1.64e-01    3.41e-01    3.6e-04
  33000      3.69e+00    3.26e+00      1.43e-02    8.53e-03      1.94e-01    1.72e-01    3.6e-04
  34000      4.13e+00    3.53e+00      6.36e-03    3.16e-03      2.18e-01    1.86e-01    3.6e-04
  35000      2.56e+00    4.21e+00      4.91e-03    5.66e-03      1.47e-01    2.42e-01    3.0e-04
  36000      3.39e+00    3.35e+00      1.92e-02    2.18e-02      1.95e-01    1.92e-01    3.0e-04
  37000      2.90e+00    2.56e+00      6.23e-03    1.05e-02      1.67e-01    1.47e-01    3.0e-04
  38000      2.96e+00    2.42e+00      8.85e-03    6.20e-03      1.70e-01    1.39e-01    3.0e-04
  39000      2.79e+00    3.48e+00      2.80e-03    1.86e-03      1.60e-01    2.00e-01    3.0e-04
  40000      2.75e+00    2.54e+00      4.34e-03    5.76e-03      1.72e-01    1.59e-01    2.5e-04
  41000      3.18e+00    2.64e+00      8.18e-03    5.79e-03      1.99e-01    1.65e-01    2.5e-04
  42000      3.08e+00    2.62e+00      5.78e-03    4.86e-03      1.93e-01    1.64e-01    2.5e-04
  43000      2.95e+00    2.78e+00      8.23e-03    1.20e-02      1.84e-01    1.74e-01    2.5e-04
  44000      2.90e+00    3.16e+00      2.50e-02    1.56e-02      1.81e-01    1.98e-01    2.5e-04
  45000      2.66e+00    2.55e+00      9.74e-03    1.11e-02      1.81e-01    1.73e-01    2.1e-04
  46000      2.23e+00    2.64e+00      1.30e-02    1.13e-02      1.52e-01    1.80e-01    2.1e-04
  47000      2.95e+00    2.85e+00      4.37e-03    2.54e-03      2.01e-01    1.94e-01    2.1e-04
  48000      2.67e+00    2.98e+00      1.00e-02    9.29e-03      1.82e-01    2.03e-01    2.1e-04
  49000      2.51e+00    2.34e+00      9.22e-03    1.12e-02      1.71e-01    1.59e-01    2.1e-04
  50000      2.47e+00    2.30e+00      3.30e-03    2.86e-03      1.83e-01    1.70e-01    1.8e-04
  51000      2.82e+00    2.06e+00      9.51e-03    7.33e-03      2.09e-01    1.53e-01    1.8e-04
  52000      2.21e+00    2.33e+00      3.38e-03    4.50e-03      1.64e-01    1.73e-01    1.8e-04
  53000      2.80e+00    2.32e+00      4.88e-03    1.88e-03      2.08e-01    1.72e-01    1.8e-04
  54000      2.22e+00    2.27e+00      7.45e-03    9.85e-03      1.64e-01    1.69e-01    1.8e-04
  55000      3.98e+00    2.27e+00      2.62e-03    2.67e-03      3.21e-01    1.83e-01    1.5e-04
  56000      2.01e+00    1.77e+00      9.86e-03    7.71e-03      1.62e-01    1.43e-01    1.5e-04
  57000      2.40e+00    2.13e+00      3.34e-03    4.61e-03      1.94e-01    1.72e-01    1.5e-04
  58000      1.92e+00    1.87e+00      2.05e-03    3.15e-03      1.55e-01    1.51e-01    1.5e-04
  59000      2.10e+00    1.91e+00      4.61e-03    3.41e-03      1.69e-01    1.54e-01    1.5e-04
  60000      2.16e+00    2.32e+00      9.85e-03    8.43e-03      1.90e-01    2.04e-01    1.3e-04
  61000      1.70e+00    2.08e+00      2.28e-03    5.02e-03      1.49e-01    1.83e-01    1.3e-04
  62000      1.82e+00    5.04e+00      4.87e-03    8.20e-03      1.60e-01    4.43e-01    1.3e-04
  63000      2.18e+00    2.08e+00      3.38e-03    2.29e-03      1.92e-01    1.83e-01    1.3e-04
  64000      1.80e+00    2.19e+00      3.02e-03    4.33e-03      1.58e-01    1.93e-01    1.3e-04
  65000      1.53e+00    1.85e+00      2.52e-03    7.90e-04      1.47e-01    1.77e-01    1.1e-04
  66000      1.89e+00    1.56e+00      9.72e-03    6.95e-03      1.81e-01    1.49e-01    1.1e-04
  67000      1.88e+00    2.08e+00      3.23e-03    5.33e-03      1.80e-01    1.99e-01    1.1e-04
  68000      3.11e+00    1.55e+00      3.48e-03    1.93e-03      2.97e-01    1.48e-01    1.1e-04
  69000      1.63e+00    1.44e+00      4.40e-03    1.29e-03      1.56e-01    1.37e-01    1.1e-04
  70000      1.81e+00    1.52e+00      2.59e-03    3.02e-03      1.89e-01    1.59e-01    9.1e-05
  71000      1.55e+00    1.55e+00      3.25e-03    3.18e-03      1.62e-01    1.61e-01    9.1e-05
  72000      1.73e+00    2.27e+00      2.64e-03    3.62e-03      1.80e-01    2.37e-01    9.1e-05
  73000      1.39e+00    1.77e+00      3.32e-03    3.19e-03      1.45e-01    1.84e-01    9.1e-05
  74000      1.83e+00    1.69e+00      4.82e-03    3.39e-03      1.91e-01    1.76e-01    9.1e-05
  75000      1.70e+00    1.38e+00      4.67e-03    3.80e-03      1.93e-01    1.56e-01    7.7e-05
  76000      1.19e+00    1.45e+00      1.47e-03    2.93e-03      1.34e-01    1.64e-01    7.7e-05
  77000      1.38e+00    1.54e+00      3.16e-03    2.71e-03      1.57e-01    1.74e-01    7.7e-05
  78000      1.32e+00    1.74e+00      7.20e-03    9.52e-03      1.49e-01    1.97e-01    7.7e-05
  79000      1.51e+00    1.27e+00      2.54e-03    4.26e-03      1.71e-01    1.44e-01    7.7e-05
  80000      1.39e+00    1.42e+00      7.77e-03    4.01e-03      1.71e-01    1.76e-01    6.5e-05
  81000      1.44e+00    1.25e+00      6.32e-03    5.25e-03      1.77e-01    1.54e-01    6.5e-05
  82000      1.97e+00    1.31e+00      3.43e-03    2.02e-03      2.42e-01    1.61e-01    6.5e-05
  83000      1.13e+00    1.44e+00      1.63e-03    2.12e-03      1.39e-01    1.77e-01    6.5e-05
  84000      1.43e+00    1.18e+00      7.98e-04    3.99e-03      1.76e-01    1.46e-01    6.5e-05
  85000      1.37e+00    1.30e+00      5.61e-03    5.00e-03      1.84e-01    1.74e-01    5.5e-05
  86000      1.09e+00    1.49e+00      3.84e-03    2.94e-03      1.46e-01    1.99e-01    5.5e-05
  87000      1.70e+00    1.03e+00      3.53e-03    1.65e-03      2.28e-01    1.38e-01    5.5e-05
  88000      1.30e+00    1.33e+00      2.27e-03    1.84e-03      1.75e-01    1.78e-01    5.5e-05
  89000      1.60e+00    1.04e+00      2.38e-03    2.80e-03      2.14e-01    1.39e-01    5.5e-05
  90000      1.04e+00    1.11e+00      5.19e-03    3.26e-03      1.52e-01    1.63e-01    4.6e-05
  91000      9.43e-01    1.00e+00      3.01e-03    2.02e-03      1.38e-01    1.46e-01    4.6e-05
